text,summary
"Indonesia adalah negara di Asia Tenggara yang terdiri dari lebih dari tujuh belas ribu pulau. Negara ini dikenal dengan keragaman budaya,"" bahasa"","" dan industri pariwisatanya yang ramai."",""Indonesia adalah negara di Asia Tenggara dengan budaya beragam dan industri pariwisata.""",""" bahasa"","" dan industri pariwisatanya yang ramai."",""Indonesia adalah negara di Asia Tenggara dengan budaya beragam dan industri pariwisata."""
"Komodo, kadal terbesar di dunia, berasal dari Indonesia. Kadal ini bisa tumbuh hingga tiga meter panjangnya dan memiliki air liur berbisa.,""Komodo, kadal terbesar, berasal dari Indonesia dan memiliki air liur berbisa.""","kadal terbesar di dunia, berasal dari Indonesia. Kadal ini bisa tumbuh hingga tiga meter panjangnya dan memiliki air liur berbisa.,""Komodo, kadal terbesar, berasal dari Indonesia dan memiliki air liur berbisa."""
"Borobudur adalah salah satu candi terkenal di dunia terletak di Jawa Tengah Indonesia. Tempat ini merupakan Situs Warisan Dunia UNESCO dan menarik ribuan pengunjung setiap tahun.,""Borobudur adalah candi terkenal di Indonesia dan Situs Warisan Dunia UNESCO.""","""Borobudur adalah candi terkenal di Indonesia dan Situs Warisan Dunia UNESCO."""
"Bali adalah tujuan wisata populer di Indonesia, terkenal dengan pantainya yang indah, warisan budaya yang kaya, dan kehidupan malam yang meriah.,""Bali adalah tujuan wisata terkenal di Indonesia, dikenal akan pantainya dan budayanya.""","terkenal dengan pantainya yang indah, warisan budaya yang kaya, dan kehidupan malam yang meriah.,""Bali adalah tujuan wisata terkenal di Indonesia, dikenal akan pantainya dan budayanya."""
"Bahasa Indonesia adalah bahasa resmi negara dan banyak digunakan di seluruh pulau-pulau Indonesia.,""Bahasa Indonesia adalah bahasa resmi Indonesia, digunakan di berbagai pulau.""","""Bahasa Indonesia adalah bahasa resmi Indonesia, digunakan di berbagai pulau."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Indonesia adalah negara kepulauan terbesar di dunia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Rendang adalah makanan khas Indonesia yang terkenal. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Rendang adalah makanan khas Indonesia yang terkenal. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Indonesia adalah negara kepulauan terbesar di dunia. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Rendang adalah makanan khas Indonesia yang terkenal.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Rendang adalah makanan khas Indonesia yang terkenal.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Tari Kecak adalah salah satu tarian tradisional Bali.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Rendang adalah makanan khas Indonesia yang terkenal. Rendang adalah makanan khas Indonesia yang terkenal.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Indonesia adalah negara kepulauan terbesar di dunia.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Indonesia adalah negara kepulauan terbesar di dunia. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Tari Kecak adalah salah satu tarian tradisional Bali.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Indonesia adalah negara kepulauan terbesar di dunia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Rendang adalah makanan khas Indonesia yang terkenal.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Rendang adalah makanan khas Indonesia yang terkenal. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Tari Kecak adalah salah satu tarian tradisional Bali.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Indonesia adalah negara kepulauan terbesar di dunia.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Indonesia adalah negara kepulauan terbesar di dunia. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Indonesia adalah negara kepulauan terbesar di dunia.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Rendang adalah makanan khas Indonesia yang terkenal.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Rendang adalah makanan khas Indonesia yang terkenal. Tari Kecak adalah salah satu tarian tradisional Bali.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Tari Kecak adalah salah satu tarian tradisional Bali.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Indonesia adalah negara kepulauan terbesar di dunia. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Tari Kecak adalah salah satu tarian tradisional Bali.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Tari Kecak adalah salah satu tarian tradisional Bali.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Tari Kecak adalah salah satu tarian tradisional Bali.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Rendang adalah makanan khas Indonesia yang terkenal.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Rendang adalah makanan khas Indonesia yang terkenal. Indonesia adalah negara kepulauan terbesar di dunia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Rendang adalah makanan khas Indonesia yang terkenal. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Pulau Komodo terkenal karena keberadaan kadal Komodo.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Rendang adalah makanan khas Indonesia yang terkenal.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Rendang adalah makanan khas Indonesia yang terkenal. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Tari Kecak adalah salah satu tarian tradisional Bali. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Rendang adalah makanan khas Indonesia yang terkenal.,""Taman Mini Indonesia Indah menampilkan budaya Indonesia.""","""Taman Mini Indonesia Indah menampilkan budaya Indonesia."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Indonesia adalah negara kepulauan terbesar di dunia. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Rendang adalah makanan khas Indonesia yang terkenal.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Candi Prambanan adalah candi Hindu terbesar di Indonesia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Gunung Bromo adalah salah satu destinasi wisata terkenal.""","""Gunung Bromo adalah salah satu destinasi wisata terkenal."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Hutan hujan Kalimantan adalah salah satu paru-paru dunia.""","""Hutan hujan Kalimantan adalah salah satu paru-paru dunia."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Jakarta adalah ibu kota dan kota terbesar di Indonesia.,""Hutan hujan Kalimantan adalah salah satu paru-paru dunia.""","""Hutan hujan Kalimantan adalah salah satu paru-paru dunia."""
"Jakarta adalah ibu kota dan kota terbesar di Indonesia. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Tari Kecak adalah salah satu tarian tradisional Bali.""","""Tari Kecak adalah salah satu tarian tradisional Bali."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Hutan hujan Kalimantan adalah salah satu paru-paru dunia. Taman Mini Indonesia Indah menampilkan budaya Indonesia.,""Rendang adalah makanan khas Indonesia yang terkenal.""","""Rendang adalah makanan khas Indonesia yang terkenal."""
"Pulau Komodo terkenal karena keberadaan kadal Komodo. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Pulau Komodo terkenal karena keberadaan kadal Komodo.""","""Pulau Komodo terkenal karena keberadaan kadal Komodo."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Candi Prambanan adalah candi Hindu terbesar di Indonesia.""","""Candi Prambanan adalah candi Hindu terbesar di Indonesia."""
"Rendang adalah makanan khas Indonesia yang terkenal. Danau Toba adalah danau vulkanik di Sumatera Utara.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Rendang adalah makanan khas Indonesia yang terkenal. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
"Gunung Bromo adalah salah satu destinasi wisata terkenal. Hutan hujan Kalimantan adalah salah satu paru-paru dunia.,""Danau Toba adalah danau vulkanik di Sumatera Utara.""","""Danau Toba adalah danau vulkanik di Sumatera Utara."""
"Danau Toba adalah danau vulkanik di Sumatera Utara. Candi Prambanan adalah candi Hindu terbesar di Indonesia.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Taman Mini Indonesia Indah menampilkan budaya Indonesia. Tari Kecak adalah salah satu tarian tradisional Bali.,""Jakarta adalah ibu kota dan kota terbesar di Indonesia.""","""Jakarta adalah ibu kota dan kota terbesar di Indonesia."""
"Indonesia adalah negara kepulauan terbesar di dunia. Gunung Bromo adalah salah satu destinasi wisata terkenal.,""Indonesia adalah negara kepulauan terbesar di dunia.""","""Indonesia adalah negara kepulauan terbesar di dunia."""
